wikidata,legislature,name,website,statistical-geography,toid,start-date,end-date
Q7383481,Q21561328,Rutland County Council,https://www.rutland.gov.uk,,,,
Q73072732,Q21561306,Ryedale District Council,https://www.ryedale.gov.uk,,,,
Q17020402,Q19414242,Salford City Council,https://www.salford.gov.uk,,,,
Q7417057,Q19414242,Sandwell Metropolitan Borough Council,https://www.sandwell.gov.uk,,,,
Q73072735,Q21561306,Scarborough Borough Council,https://www.scarborough.gov.uk,,,,
Q73072737,Q21561306,Sedgemoor District Council,https://www.sedgemoor.gov.uk,,,,
Q7446119,Q19414242,Sefton Council,https://www.sefton.gov.uk,,,,
Q73072740,Q21561306,Selby District Council,https://www.selby.gov.uk,,,,
Q55098936,Q21561306,Sevenoaks District Council,https://www.sevenoaks.gov.uk,,,,
Q7492609,Q19414242,Sheffield City Council,https://www.sheffield.gov.uk,,,,
Q17020947,Q5150900,Sheffield City Region Combined Authority,https://sheffieldcityregion.org.uk,,,,
Q93612,Q21561328,Shropshire Council,https://www.shropshire.gov.uk,,,,
Q16893098,Q4321471,Shropshire County Council,,,,,
Q7541466,Q21561328,Slough Borough Council,https://www.slough.gov.uk,,,,
Q17021590,Q19414242,Solihull Metropolitan Borough Council,https://www.solihull.gov.uk,,,,
Q6386270,Q4321471,Somerset County Council,https://www.somerset.gov.uk,,,,
Q60790331,Q21561306,Somerset West and Taunton Council,https://www.somersetwestandtaunton.gov.uk,,,,
Q65089619,Q21561306,South Bucks District Council,https://www.southbucks.gov.uk,,,,
Q7566485,Q21561306,South Cambridgeshire District Council,https://www.scambs.gov.uk,,,,
Q73072741,Q21561306,South Derbyshire District Council,https://www.south-derbys.gov.uk,,,,
Q20198711,Q3336962,South Downs National Park Authority,https://www.southdowns.gov.uk,E26000010,,,
Q17020724,Q21561328,South Gloucestershire Council,https://www.southglos.gov.uk,,,,
Q23461861,Q21561306,South Hams District Council,https://www.southhams.gov.uk/,,,,
Q73072743,Q21561306,South Holland District Council,https://www.sholland.gov.uk,,,,
Q73072747,Q21561306,South Kesteven District Council,https://www.southkesteven.gov.uk,,,,
Q73072749,Q21561306,South Lakeland District Council,https://www.southlakeland.gov.uk,,,,
Q73072752,Q21561306,South Norfolk District Council,https://www.south-norfolk.gov.uk,,,,
Q73072753,Q21561306,South Northamptonshire Council,https://www.southnorthants.gov.uk,,,,
Q65089301,Q21561306,South Oxfordshire District Council,https://www.southoxon.gov.uk,,,,
Q73072755,Q21561306,South Ribble Borough Council,https://www.southribble.gov.uk,,,,
Q73072757,Q21561306,South Somerset District Council,https://www.southsomerset.gov.uk,,,,
Q73072759,Q21561306,South Staffordshire Council,https://www.sstaffs.gov.uk,,,,
Q72456968,Q5266682,South Tees Development Corporation,https://www.southteesdc.com,E51000004,,2017-08-01T00:00:00Z,
Q23463529,Q19414242,South Tyneside Council,https://www.southtyneside.info,,,,
Q17021809,Q21561328,Southampton City Council,https://www.southampton.gov.uk,,,,
Q7569516,Q21561328,Southend-on-Sea Borough Council,https://www.southend.gov.uk,,,,
