statistical-geography,boundary
E07000176,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000176/index.geojson
E07000177,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000177/index.geojson
E07000178,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000178/index.geojson
E07000179,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000179/index.geojson
E07000180,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000180/index.geojson
E07000181,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000181/index.geojson
E07000187,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000187/index.geojson
E07000188,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000188/index.geojson
E07000189,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000189/index.geojson
E07000192,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000192/index.geojson
E07000193,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000193/index.geojson
E07000194,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000194/index.geojson
E07000195,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000195/index.geojson
E07000196,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000196/index.geojson
E07000197,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000197/index.geojson
E07000198,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000198/index.geojson
E07000199,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000199/index.geojson
E07000200,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000200/index.geojson
E07000202,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000202/index.geojson
E07000203,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000203/index.geojson
E07000207,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000207/index.geojson
E07000208,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000208/index.geojson
E07000209,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000209/index.geojson
E07000210,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000210/index.geojson
E07000211,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000211/index.geojson
E07000212,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000212/index.geojson
E07000213,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000213/index.geojson
E07000214,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000214/index.geojson
E07000215,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000215/index.geojson
E07000216,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000216/index.geojson
E07000217,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000217/index.geojson
E07000218,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000218/index.geojson
E07000219,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000219/index.geojson
